neuron,concept,score,margin,status,mean_activation,max_activation,active_fraction,top_candidates
0,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
1,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
2,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
3,filtered_always_on,0.0,0.0,always_on,0.0758468359708786,0.29917290806770325,0.9876666666666667,
4,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
5,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
6,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
7,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
8,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
9,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
10,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
11,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
12,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
13,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
14,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
15,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
16,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
17,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
18,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
19,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
20,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
21,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
22,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
23,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
24,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
25,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
26,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
27,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
28,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
29,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
30,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
31,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
32,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
33,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
34,left lung opacity,0.35647618770599365,0.001340329647064209,assigned,9.142042108578607e-05,0.014926336705684662,0.026,left lung opacity=0.356; bilateral lung opacities=0.355; right lung opacity=0.355; left pneumothorax=0.354; small pneumothorax=0.354
35,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
36,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
37,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
38,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
39,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
40,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
41,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
42,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
43,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
44,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
45,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
46,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
47,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
48,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
49,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
50,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
51,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
52,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
53,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
54,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
55,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
56,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
57,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
58,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
59,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
60,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
61,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
62,filtered_always_on,0.0,0.0,always_on,0.05792573094367981,0.1134190559387207,0.9973333333333333,
63,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
64,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
65,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
66,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
67,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
68,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
69,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
70,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
71,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
72,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
73,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
74,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
75,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
76,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
77,filtered_always_on,0.0,0.0,always_on,0.05485404282808304,0.11527737975120544,0.9966666666666667,
78,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
79,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
80,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
81,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
82,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
83,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
84,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
85,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
86,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
87,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
88,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
89,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
90,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
91,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
92,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
93,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
94,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
95,filtered_always_on,0.0,0.0,always_on,0.040053196251392365,0.13039126992225647,0.9936666666666667,
96,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
97,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
98,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
99,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
100,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
101,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
102,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
103,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
104,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
105,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
106,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
107,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
108,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
109,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
110,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
111,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
112,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
113,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
114,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
115,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
116,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
117,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
118,filtered_too_rare,0.0,0.0,too_rare,1.6074760651463293e-06,0.004822428338229656,0.0003333333333333333,
119,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
120,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
121,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
122,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
123,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
124,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
125,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
126,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
127,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
128,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
129,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
130,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
131,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
132,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
133,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
134,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
135,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
136,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
137,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
138,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
139,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
140,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
141,filtered_too_rare,0.0,0.0,too_rare,9.907370923656345e-08,0.00029722112230956554,0.0003333333333333333,
142,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
143,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
144,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
145,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
146,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
147,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
148,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
149,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
150,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
151,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
152,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
153,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
154,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
