image_id,neighbor_rank,neighbor_image_id,embedding_similarity,filtered_jaccard,raw_jaccard,source_filtered_concepts,neighbor_filtered_concepts,source_raw_concepts,neighbor_raw_concepts
img_000000,1,img_002340,0.9838324785232544,1.0,1.0,,,,
img_000000,2,img_001166,0.9829747676849365,1.0,1.0,,,,
img_000000,3,img_001852,0.9825851917266846,1.0,1.0,,,,
img_000000,4,img_002033,0.9812672734260559,1.0,1.0,,,,
img_000000,5,img_001620,0.9811367988586426,1.0,1.0,,,,
img_000001,1,img_002159,0.9876068234443665,1.0,1.0,,,,
img_000001,2,img_001981,0.9867764115333557,1.0,1.0,,,,
img_000001,3,img_002291,0.9851106405258179,1.0,1.0,,,,
img_000001,4,img_001779,0.9844684600830078,1.0,1.0,,,,
img_000001,5,img_000125,0.984317421913147,1.0,1.0,,,,
img_000002,1,img_002824,0.9718203544616699,1.0,1.0,,,,
img_000002,2,img_001617,0.9709043502807617,1.0,1.0,,,,
img_000002,3,img_000914,0.9705833196640015,1.0,1.0,,,,
img_000002,4,img_001045,0.970061182975769,1.0,1.0,,,,
img_000002,5,img_000676,0.9699345827102661,1.0,1.0,,,,
img_000003,1,img_001233,0.9866511821746826,1.0,1.0,,,,
img_000003,2,img_000355,0.9866291284561157,1.0,1.0,,,,
img_000003,3,img_002819,0.9863392114639282,1.0,1.0,,,,
img_000003,4,img_000940,0.9861205220222473,1.0,1.0,,,,
img_000003,5,img_002773,0.9860173463821411,1.0,1.0,,,,
img_000004,1,img_000212,0.9901596307754517,1.0,1.0,,,,
img_000004,2,img_001172,0.987033486366272,1.0,1.0,,,,
img_000004,3,img_002211,0.9865461587905884,1.0,1.0,,,,
img_000004,4,img_001325,0.9857510924339294,1.0,1.0,,,,
img_000004,5,img_001659,0.9857257604598999,1.0,1.0,,,,
img_000005,1,img_000600,0.9894548654556274,1.0,1.0,,,,
img_000005,2,img_000171,0.9893960952758789,1.0,1.0,,,,
img_000005,3,img_000891,0.9892263412475586,1.0,1.0,,,,
img_000005,4,img_001726,0.9889525175094604,1.0,1.0,,,,
img_000005,5,img_002694,0.9889476299285889,1.0,1.0,,,,
img_000006,1,img_002442,0.9836591482162476,1.0,1.0,,,,
img_000006,2,img_002536,0.9822349548339844,1.0,1.0,,,,
img_000006,3,img_001030,0.9819318056106567,1.0,1.0,,,,
img_000006,4,img_002576,0.9818660020828247,1.0,1.0,,,,
img_000006,5,img_002779,0.9814981818199158,1.0,1.0,,,,
img_000007,1,img_002436,0.977299690246582,1.0,1.0,,,,
img_000007,2,img_000886,0.9757297039031982,1.0,1.0,,,,
img_000007,3,img_002103,0.9751205444335938,1.0,1.0,,,,
img_000007,4,img_002270,0.9742781519889832,1.0,1.0,,,,
img_000007,5,img_001762,0.9741217494010925,1.0,1.0,,,,
img_000008,1,img_000792,0.9843751192092896,1.0,1.0,,,,
img_000008,2,img_001930,0.984137237071991,1.0,1.0,,,,
img_000008,3,img_002694,0.9839280247688293,1.0,1.0,,,,
img_000008,4,img_000962,0.9830085039138794,1.0,1.0,,,,
img_000008,5,img_001354,0.982162356376648,1.0,1.0,,,,
img_000009,1,img_002088,0.9828343391418457,1.0,1.0,,,,
img_000009,2,img_000142,0.9814292192459106,1.0,1.0,,,,
img_000009,3,img_002341,0.9803687930107117,1.0,1.0,,,,
img_000009,4,img_001634,0.9800835847854614,1.0,1.0,,,,
img_000009,5,img_000515,0.9798409938812256,1.0,1.0,,,,
img_000010,1,img_001210,0.9706872701644897,1.0,1.0,,,,
img_000010,2,img_002759,0.9701347351074219,1.0,1.0,,,,
img_000010,3,img_000785,0.9689708948135376,1.0,1.0,,,,
img_000010,4,img_002798,0.9687141180038452,1.0,1.0,,,,
img_000010,5,img_000746,0.9686638712882996,1.0,1.0,,,,
img_000011,1,img_001238,0.9856396317481995,1.0,1.0,,,,
img_000011,2,img_002389,0.9847269058227539,1.0,1.0,,,,
img_000011,3,img_000816,0.9843475818634033,1.0,1.0,,,,
img_000011,4,img_001279,0.9839581251144409,1.0,1.0,,,,
img_000011,5,img_002625,0.9838903546333313,1.0,1.0,,,,
img_000012,1,img_001799,0.9839003086090088,1.0,1.0,,,,
img_000012,2,img_001899,0.9818263053894043,1.0,1.0,,,,
img_000012,3,img_001752,0.9809954166412354,1.0,1.0,,,,
img_000012,4,img_000640,0.980695366859436,1.0,1.0,,,,
img_000012,5,img_001744,0.9802159070968628,1.0,1.0,,,,
img_000013,1,img_001910,0.9823625087738037,1.0,1.0,,,,
img_000013,2,img_000613,0.9808931946754456,1.0,1.0,,,,
img_000013,3,img_002915,0.9787451028823853,1.0,1.0,,,,
img_000013,4,img_002737,0.9784042835235596,1.0,1.0,,,,
img_000013,5,img_002607,0.9757439494132996,1.0,1.0,,,,
img_000014,1,img_002256,0.9756519794464111,1.0,1.0,,,,
img_000014,2,img_002770,0.9755340814590454,1.0,1.0,,,,
img_000014,3,img_001636,0.9734174013137817,1.0,1.0,,,,
img_000014,4,img_000274,0.9729951620101929,1.0,1.0,,,,
img_000014,5,img_001376,0.9728530645370483,1.0,1.0,,,,
img_000015,1,img_000079,0.9924274682998657,1.0,1.0,,,,
img_000015,2,img_001340,0.990565299987793,1.0,1.0,,,,
img_000015,3,img_001504,0.9898576736450195,1.0,1.0,,,,
img_000015,4,img_001528,0.9887652397155762,1.0,1.0,,,,
