concept,concept_consistency_unfiltered,concept_consistency_filtered
clear lungs,0.8405125076266016,0.8194756554307117
emphysema,0.7711286089238845,0.7711286089238845
normal chest x-ray,0.7157068062827225,0.7157068062827225
bibasilar atelectasis,0.6069798657718121,0.5915915915915916
left basilar atelectasis,0.5886973180076628,0.5886973180076628
chest tube,0.56214405360134,0.5859275053304904
pleural thickening,0.5607476635514018,0.5607476635514018
atelectasis,0.5580838323353293,0.5591591591591591
cardiac pacemaker,0.5588785046728972,0.5388839681133747
right lung opacity,0.5076335877862596,0.5076335877862596
lung opacity,0.5967469879518073,0.5047959914101646
rib fracture,0.6280130293159609,0.4463821892393321
no acute cardiopulmonary abnormality,0.3825503355704698,0.3825503355704698
pulmonary edema,0.4306122448979592,0.37333333333333335
left lower lobe consolidation,0.3473684210526316,0.3473684210526316
small pleural effusion,0.3701375245579568,0.30170648464163824
enlarged cardiac silhouette,0.5335616438356164,0.28369565217391307
right pleural effusion,0.24848484848484848,0.24848484848484848
nasogastric tube,0.5696378830083565,0.22777777777777777
left lung opacity,0.4940027894002789,0.08571428571428572
